,host,dopant,BC-32a-d-x1,BW-32a-d-x1,BF-32a-d-x1,BC-32a-s-x1,BW-32a-s-x1,BF-32a-s-x1,BC-32a-p-x1,BW-32a-p-x1,BF-32a-p-x1,BC-19a-d-x2,BW-19a-d-x2,BF-19a-d-x2,BC-19a-s-x2,BW-19a-s-x2,BF-19a-s-x2,BC-19a-p-x2,BW-19a-p-x2,BF-19a-p-x2,BC-32a-d-x2,BW-32a-d-x2,BF-32a-d-x2,BC-32a-s-x2,BW-32a-s-x2,BF-32a-s-x2,BC-32a-p-x2,BW-32a-p-x2,BF-32a-p-x2,BC-31a-d-x1,BW-31a-d-x1,BF-31a-d-x1,BC-31a-s-x1,BW-31a-s-x1,BF-31a-s-x1,BC-31a-p-x1,BW-31a-p-x1,BF-31a-p-x1,FE-x1,FE-x2,SFE-x1-diff,MR-h-MR-dp-del,NE-s-h-NE-s-dp-del,NE-p-h-NE-p-dp-del,NE-d-h-NE-d-dp-del,CE-h-CE-dp-del,surf_ad_en_x1,surf_ad_en_x2,SE-in
32,Cu,Cu,-2.271332755,1.040552628,0.97804982,0.37496076,4.205559738,0.452430237,0.896683106,3.539547971,0.343366595,-2.491632325,1.201482325,0.976015774,-0.109299953,4.543979387,0.446182894,-0.76205765,3.96084076,0.532516371,-2.271332755,1.040552628,0.97804982,0.37496076,4.205559738,0.452430237,0.896683106,3.539547971,0.343366595,-2.272622756,1.040412984,0.978069012,0.319706228,4.193600235,0.457106605,0.891942276,3.539729896,0.343830543,0,0,0,0,0,0,0,0,-4276.058745,-4276.058745,0
33,Ir,Cu,-2.207916004,0.994656077,0.973611424,-3.691832696,2.540735374,0.917101205,-2.755296775,2.884806492,0.831296159,-2.685848512,1.268865763,0.973058848,-5.471969653,2.530116988,0.937874192,-4.362391977,2.759672785,0.918583585,-2.087017221,2.002714482,0.826284389,-4.253433768,2.725880677,0.917016654,-2.751001163,2.926922836,0.803553467,-2.150586101,1.994103389,0.822511305,-4.249802277,2.780044048,0.903010002,-2.683521318,2.968256349,0.799578343,0.015433624,0.532858321,0.078170461,9,0,12,17,-3.776158095,-2338.208344,-2338.177862,-0.414728888
34,Ir,Au,-3.405797581,1.422606854,0.971489271,-3.417474047,2.660878805,0.882887024,-2.517427727,2.933170648,0.80508421,-4.670422976,1.99356151,0.961889523,-5.85624232,2.924821066,0.920271606,-4.508334725,2.838793963,0.915810208,-2.042362918,1.993301116,0.826007982,-4.149902507,2.819831462,0.905812943,-2.784096347,2.997544171,0.808501194,-2.174841561,2.031297017,0.822247024,-4.415333474,2.758925008,0.914932942,-2.824680917,2.95994617,0.813702741,-0.020804813,1.727799502,0.082949648,-7,-4,0,-3,-4.144357469,-2306.176229,-2306.096419,-1.085870763
35,Ir,Ag,-3.604267051,1.130879134,0.984170407,-2.714022233,2.451022353,0.868647727,-2.363041049,2.857145435,0.796308922,-4.635736375,1.704333481,0.977002923,-5.416253297,2.452762061,0.952009535,-4.386475956,2.808416505,0.91881505,-2.011032688,1.968223465,0.826879119,-4.142561494,2.757083665,0.910144745,-2.688714317,2.926650224,0.801928578,-2.165690454,2.012562104,0.821039239,-4.34124946,2.750554827,0.910317378,-2.69441783,2.933857017,0.80517731,0.199759199,1.768210466,0.084409922,-7,-2,6,7,-4.534993795,-2315.779149,-2315.70411,-1.020957977
36,Ir,Co,-5.895050339,1.504576994,1,-8.574616109,2.460289093,1,-7.515305963,2.7813348,1,-1.574335448,1.648883124,0.788854816,-5.616903951,2.237492524,0.964007482,-4.485902405,2.559870349,0.943382664,-2.19367279,2.001798957,0.829924725,-4.427020278,2.637472608,0.930877596,-2.922376475,2.847168627,0.841195423,-6.669501176,1.972565813,1,-8.807828327,2.71399988,1,-7.354188467,2.889942249,1,0.161493854,0.018565995,0.033316755,11,-1,12,20,-2.189620297,-2298.390016,-2298.378887,-0.151417814
37,Ir,Ni,-5.800673831,1.17453186,1,-8.45003231,2.500253267,1,-7.333296379,2.850932058,1,-1.713033633,1.388079296,0.894357126,-5.41518147,2.442705057,0.94461248,-4.245650041,2.71770461,0.915438094,-2.134184188,2.014241183,0.824857434,-4.326402624,2.699094204,0.918166784,-2.771684872,2.920124243,0.81039625,-6.671536936,1.996006772,1,-8.759276323,2.783848945,1,-7.22863153,2.970420398,1,0.05926574,0.160356077,0.0404944,12,0,12,19,-2.498925774,-2321.358921,-2321.335034,-0.32499931
38,Ir,Pt,-2.48835712,1.784992136,0.904844753,-4.031421014,2.736269439,0.91051566,-2.843334029,3.050131375,0.815450824,-3.432073544,2.209392114,0.897221357,-5.983497346,2.730280268,0.936165162,-4.583535697,2.863264483,0.912014719,-2.116131799,2.01866913,0.823845214,-4.278205456,2.795208681,0.909843734,-2.819814633,2.986349279,0.81541796,-2.1672938,2.041640198,0.821465604,-4.382536473,2.77984053,0.912099801,-2.828412259,2.982729012,0.814132919,-0.299934553,0.424364784,0.043018219,-3,0,0,-2,-1.88695338,-2293.514538,-2293.482633,-0.434089797
39,Ir,Rh,-1.869280168,1.761644048,0.842019822,-3.867041749,2.679231613,0.915128448,-3.168223373,3.051153026,0.839564979,-2.53815453,2.125681043,0.836127884,-5.736961069,2.378283516,0.96094907,-4.704319959,2.787717786,0.92521256,-2.171500287,2.180836375,0.825947719,-4.457994288,3.474115845,0.919022817,-3.729287642,8.285849981,0.831010164,-2.182003362,2.170892792,0.824623504,-4.331466736,2.731785049,0.914804889,-2.797263197,2.920229955,0.822932808,-0.105075446,-0.078421883,0.016418288,2,0,6,9,-1.779486393,-2453.9688,-2453.960578,-0.111866049
40,Ir,Pd,-2.279320336,1.512808895,0.927518823,-3.352696144,2.720609275,0.893977542,-3.159696767,3.217173884,0.816067921,-3.203818039,1.907851018,0.922957232,-5.619902356,2.465880957,0.956768201,-4.900438164,2.922491198,0.917468448,-2.077455017,1.988107391,0.823708223,-4.221131374,2.734527139,0.911328586,-2.707824458,2.908939752,0.80796473,-2.148501575,2.022872321,0.81974743,-4.278609683,2.776090283,0.905836881,-2.671464681,2.954182137,0.802690322,-0.10928811,0.594575468,0.050359269,-1,0,6,7,-3.519841777,-2299.396558,-2299.357253,-0.534771962
41,Ir,Ir,-2.210475783,2.023273976,0.830261768,-4.458804912,2.726540642,0.923876782,-3.008808614,2.912079302,0.846574902,-2.853947444,2.400909234,0.820291503,-6.247052591,2.463108297,0.957480405,-4.654222922,2.663143336,0.934393773,-2.210475783,2.023273976,0.830261768,-4.458804912,2.726540642,0.923876782,-3.008808614,2.912079302,0.846574902,-2.211601212,2.022401818,0.830638524,-4.456667385,2.728578887,0.92360511,-3.002366989,2.915787417,0.845512643,0,0,0,0,0,0,0,0,-2282.860977,-2282.860977,0
42,Ni,Cu,-2.23942883,1.03324899,0.975877863,-2.013107025,3.217162143,0.696865788,0.164722064,3.328877637,0.43431181,-2.574433393,1.271085352,0.973439612,-2.969952574,3.73208509,0.730267815,-1.892665641,3.52377768,0.678373556,-1.268390608,1.26552438,0.886674301,-2.009682006,3.19824942,0.701461021,-0.015617362,3.254455213,0.45255164,-1.338858333,1.285014148,0.890502912,-2.123904271,3.194147129,0.7082695,-0.112257593,3.244702314,0.462630164,-0.139657048,0.160334988,0.037676061,-3,0,0,-2,-1.277232321,-3685.569499,-3685.574639,0.069933288
43,Ni,Ir,-1.977613034,2.045256015,0.819213651,-2.726533599,3.33740616,0.746642974,-0.105948253,3.313300354,0.456661227,-2.487325534,2.343511471,0.816430439,-3.500764977,3.798953117,0.758059743,-2.03785326,3.479044262,0.687640144,-1.335662338,1.309094975,0.886638408,-2.141471856,3.263033626,0.703307457,-0.14196263,3.30432296,0.467867895,-1.353036453,1.333016842,0.887511807,-2.270829287,3.238829976,0.726264165,-0.27371054,3.316796657,0.488242872,-0.037959217,0.101363131,-0.0404944,-12,0,-12,-19,2.498925774,-3630.215464,-3630.225242,0.13303651568968525
44,Ni,Co,-1.50524638,1.617466766,0.78225375,-2.268320592,3.182957065,0.720238078,-0.263983862,3.261379348,0.481118852,-1.713337525,1.774984397,0.78218488,-3.028247307,3.56246836,0.746798395,-1.713605091,3.554960215,0.655754761,-1.386376877,1.289606291,0.889760999,-2.189180407,3.190960562,0.717033507,-0.189669635,3.239022048,0.475137074,-1.359042254,1.285275511,0.888352384,-2.199074515,3.161972252,0.719032635,-0.179359952,3.228467686,0.473589967,0.043329046,-0.119871302,-0.007177646,-1,-1,0,1,0.309305477,-3645.754662,-3645.760296,0.076654503
45,Ni,Pt,-2.456956798,1.812550429,0.909100584,-2.451925796,3.345223794,0.722652107,-0.033856305,3.414195742,0.445274106,-3.140353494,2.1560997,0.901723168,-3.50338861,3.833496584,0.753305215,-2.440887728,3.431368968,0.729378142,-1.300619029,1.280545253,0.887330299,-2.066638086,3.239293046,0.695833315,-0.123930584,3.28559093,0.461979365,-1.352528875,1.324645581,0.88771085,-2.267852728,3.235160586,0.720409562,-0.288413073,3.304731318,0.483786012,-0.596551696,-0.0060644,0.002523818,-15,0,-12,-21,0.611972394,-3640.880281,-3640.886739,0.087865598
46,Ni,Rh,-1.791212171,1.793555054,0.843203712,-2.099971907,3.206314731,0.708092597,-0.035232559,3.563340122,0.44983648,-2.254458458,2.095619721,0.838050226,-3.459216904,3.453265502,0.7987494,-2.493922026,3.451813602,0.74040803,-1.334863397,1.401002662,0.888014142,-2.206169731,4.433708623,0.697365724,-0.471817111,7.280074045,0.445288729,-1.363955769,1.424293919,0.888029163,-2.102901202,3.239010795,0.709503447,0.013491923,3.273320173,0.454469069,-0.062434508,0.157651264,-0.024076112,-10,0,-6,-10,0.719439381,-3801.313847,-3801.315975,0.028952925485381954
47,Ni,Pd,-2.254265417,1.508192812,0.935398297,-1.353636268,3.220146683,0.623945538,0.079290435,3.693159257,0.427502744,-2.974224982,1.849372763,0.929757517,-3.147483392,3.553975372,0.769619118,-3.211563246,3.301745186,0.80865387,-1.271871369,1.249262373,0.888013231,-2.020585967,3.161189057,0.69885754,0.007539141,3.183599256,0.450307658,-1.354335454,1.302360753,0.888049177,-2.163829963,3.190280851,0.712234687,-0.10919634,3.206929937,0.462214809,-0.247494111,0.385946374,0.009864869,-13,0,-6,-12,-1.020916003,-3646.751951,-3646.746131,-0.079185163
48,Ni,Ni,-1.344164358,1.28655238,0.887506665,-2.213459145,3.124732612,0.721000338,-0.180003894,3.236761977,0.474573678,-1.662069909,1.4758772,0.887338495,-2.950497479,3.566032699,0.74142566,-1.592637152,3.560045569,0.646022904,-1.344164358,1.28655238,0.887506665,-2.213459145,3.124732612,0.721000338,-0.180003894,3.236761977,0.474573678,-1.344577051,1.285579242,0.887569677,-2.199221827,3.134287707,0.71927922,-0.138945557,3.252554683,0.470386914,0,0,0,0,0,0,0,0,-3668.719221,-3668.719221,0
49,Pt,Cu,-1.646952383,0.985193229,0.974342819,-0.94693881,3.778059803,0.566496217,0.018517877,3.552371051,0.454614748,-1.728118176,1.172212716,0.97559128,-1.541820753,4.380182082,0.567656056,-1.410797696,3.928133701,0.600508329,-1.947008722,1.747699025,0.894841236,-1.505390435,3.855213694,0.615514291,-0.078871285,3.571003543,0.454155765,-1.878906285,1.713392962,0.895813434,-1.402304207,3.814053248,0.599304292,-0.014861938,3.542588591,0.444946981,,-0.618635785,0.035152242,12,0,12,19,-1.889204715,-2711.266911,-2711.290493,0.32084957178741025
50,Pt,Au,-2.953511586,1.426724083,0.9699529,-0.882931019,3.731302727,0.553608633,0.524392389,3.567078123,0.39964523,-3.484023574,1.822658164,0.967648455,-1.453186373,4.657111678,0.537200034,-1.623917921,3.894791488,0.620912053,-1.839953044,1.718518093,0.896153872,-1.330728075,3.856570062,0.596977718,-0.03960277,3.600491299,0.449508278,-1.915260224,1.751693712,0.893389942,-1.43388559,3.921405659,0.599695181,-0.194410699,3.591843353,0.464951504,-0.172334534,0.217958521,0.039931429,-4,-4,0,-1,-2.257404089,-2679.231529,-2679.235721,0.057035086
51,Pt,Ag,-3.211487055,1.163281371,0.983778761,-0.318142151,3.431292598,0.513405221,0.838355443,3.49766542,0.368257413,-3.574341135,1.567854039,0.98103851,-1.83437397,4.254590437,0.619472502,-1.532312691,3.877980121,0.61714437,-1.840301634,1.706691883,0.894895551,-1.386179627,3.835060525,0.607215281,0.030973282,3.552370511,0.444296732,-1.902432835,1.738072533,0.894934127,-1.485272656,3.863219939,0.607189621,-0.079011414,3.537824408,0.45209482,-0.195516602,-0.048316555,0.041391703,-4,-2,6,9,-2.648040415,-2688.849123,-2688.860656,0.15691451579228477
52,Pt,Ir,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,-2.041207786,2.215624207,0.789591903,-2.296800372,4.59167296,0.612306542,-1.586341381,3.928354288,0.606824755,-2.047105469,1.781590403,0.891976593,-1.573204786,3.943178847,0.612887167,-0.350725185,3.586819331,0.481622524,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,0.654553467,0.271811575,-0.043018219,3,0,0,2,1.88695338,-2655.882732,-2655.872259,-0.142492476
53,Pt,Ni,-5.078677786,1.158048231,0.998335899,-5.541996032,3.77729074,0.918105863,-4.438586814,3.48998858,0.934869397,-0.979849743,1.28386289,0.877767639,-1.678156797,4.326363106,0.589190473,-1.312996228,3.870313411,0.591795858,-1.984215156,1.754657741,0.894735774,-1.58607513,3.853073425,0.622653472,-0.246277068,3.5341537,0.473326517,-6.085553965,1.703692782,0.997704786,-5.644834983,3.770339399,0.930520279,-4.300954754,3.51018452,0.927326571,0.310981699,-0.194551618,-0.002523818,15,0,12,21,-0.611972394,-2694.398803,-2694.401544,0.037293218395736114
54,Pt,Co,-5.681746229,1.64233916,0.998287984,-5.776626621,3.822190339,0.925452942,-4.528906801,3.531687071,0.934209925,-1.592908394,1.736146903,0.762340506,-1.865103833,4.389689557,0.596667306,-1.390163776,3.906880774,0.593806809,-2.024485235,1.760886325,0.895113939,-1.619291861,3.865955543,0.625179826,-0.272436198,3.545964478,0.474348296,-6.108632309,1.71421486,0.997791173,-5.696588737,3.78081057,0.931167949,-4.320024935,3.522471835,0.928182225,0.217383,-0.45649362,-0.009701464,14,-1,12,22,-0.302666917,-2671.435459,-2671.446491,0.15009806106765125
